Time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1964044,-9.31,22.46,-7.57,-67.74,-149.81,231.43
1964051,-7.03,17.09,-6.7,-62.71,-117.67,249.96
1964058,-2.02,14.05,-6.84,-63.38,-86.54,249.96
1964065,-2.62,15.34,-8.58,-65.59,-60.35,249.96
1964072,-2.83,16.41,-9.02,-71.45,-32.12,230.1
1964079,-0.49,16.42,-8.44,-76.77,-9.63,153.56
1964086,1.5,17.37,-7.26,-80.34,6.97,101.83
1964093,1.88,16.64,-6.7,-80.17,18.73,95.29
1964100,1.89,17.62,-6.76,-78.43,27.68,125.99
1964107,2.77,17.79,-7.19,-74.37,34.36,164.2
1964114,4.56,16.83,-7.47,-72.67,39.06,187
1964148,7.15,17.41,-5.49,-73.75,43.16,137.7
1964155,7.89,17.54,-5.13,-72.85,41.94,155.21
1964162,8.4,16.88,-5.39,-71.99,40.31,166.36
1964169,8.19,16.73,-6.08,-73.02,38.37,162.81
1964176,7.72,16.74,-6.96,-73.9,36.38,149.09
1964183,7.48,15.69,-7.28,-74.78,34.11,137.48
1964190,7.44,15.34,-7.02,-75.52,31.86,136.83
1964197,7.73,14.78,-6.25,-75.37,29.4,144.86
1964204,8.04,14.65,-5.52,-76,27.18,151.94
1964211,8.13,15.32,-5.29,-76.42,24.76,153.98
1964218,7.56,15.09,-5.79,-76.93,22.27,148.31
1964225,7,15.05,-6.45,-77.66,19.9,142.06
1964232,7.25,14.37,-6.55,-78.94,17.36,145.48
1964239,7.58,12.68,-6.25,-79.27,14.92,152.54
1964246,7.56,13.08,-6.12,-80.89,12.5,154.46
1964253,7.43,14.14,-6.12,-81.6,10.02,153.88
1964260,7.53,13.45,-6.07,-83.04,7.65,154.89
1964267,8.11,13.38,-5.93,-84.69,5.35,157.22
1964274,8.66,12.64,-5.73,-85.73,2.94,159.36
1964281,8.81,12.89,-5.64,-88.1,0.58,161.21
1964288,9.07,13.51,-5.49,-89.56,-1.87,163.99
1964295,9.24,12.8,-5.19,-91.01,-4.33,165.89
1964302,9.33,12.37,-4.89,-92.26,-6.65,168.58
1964309,9.26,12.31,-4.66,-93.91,-8.93,173.04
1964316,9.25,11.98,-4.69,-95.28,-11.07,177.32
1964323,9.49,11.97,-4.92,-97.06,-13.03,180.78
1964330,9.74,11.68,-5.15,-98.26,-14.96,183.02
1964337,9.81,11.23,-5.2,-100.25,-16.67,186.67
1964344,9.89,11.04,-5.1,-102.22,-18.12,190.64
1964351,9.78,10.87,-4.93,-103.71,-19.15,194.07
1964358,9.61,10.52,-4.7,-106.16,-19.97,197.89
1964365,9.54,10.34,-4.61,-107.7,-20.51,202.57
1964372,9.55,10.07,-4.55,-109.75,-20.79,207.34
1964379,9.59,9.64,-4.62,-111.2,-20.77,212.4
1964386,9.67,9.3,-4.75,-113.04,-20.57,217.21
1964393,9.65,9.03,-4.94,-115.74,-20.04,220.91
1964400,9.5,8.76,-5.06,-117.55,-19.29,225.54
1964407,9.23,8.59,-5.09,-119.42,-18.44,230.87
1964414,9.08,8.19,-5.08,-121.11,-17.03,236.89
1964421,8.93,7.76,-5.02,-123.21,-15.78,240.72
1964428,8.84,7.54,-5.06,-126.14,-14.04,244.98
1964435,8.8,7.14,-5.11,-128.53,-12.16,249.71
1964442,8.89,6.83,-5.14,-130.53,-10.06,249.96
1964449,8.94,6.41,-5.09,-133.1,-7.82,249.96
1964456,9.02,5.85,-5.07,-135.82,-5.38,249.96
1964463,9.1,5.5,-5.01,-138.33,-2.69,249.96
1964470,9.03,5.16,-4.96,-140.85,0.07,249.96
1964477,8.82,4.81,-5.01,-142.91,3.11,249.96
1964484,8.55,4.53,-5.11,-146.19,6.18,249.96
1964491,8.3,4.21,-5.21,-148.57,9.3,249.96
1964498,8.1,3.9,-5.31,-151.05,12.26,249.96
1964505,7.94,3.53,-5.34,-154.22,15.86,249.96
1964512,7.76,3.1,-5.32,-156.43,19.64,249.96
1964519,7.63,2.67,-5.36,-158.53,23.7,249.96
1964526,7.46,2.28,-5.38,-160.19,27.77,249.96
1964533,7.25,1.98,-5.4,-162.24,32.23,249.96
1964540,5.05,6.78,-5.66,-161.26,38.21,249.96
1964547,4.98,5.42,-5.54,-157.55,46.05,249.96
1964554,3.87,10.92,-7.42,-147.42,55.99,249.96
1964561,2.41,7.56,-7.69,-133.22,65.95,222.96
1964597,6.58,-1.95,-6.01,-67.57,97.9,94.43
1964604,6.17,-4.14,-6.9,-62.3,100.44,88.79
1964611,5.48,-2.76,-6.63,-57.14,102.41,85.84
1964618,7.8,-1.02,-5.22,-54.78,102.94,88.83
1964625,11.95,4.16,-3.07,-48.59,97.93,75.73
1964632,10.09,5.08,-5.86,-39.87,84.84,52.09
1964639,5.6,1.54,-8.75,-24.64,68,39.79
1964646,7.31,-0.87,-6.65,-18.97,49.76,27.95
1964653,9.55,5.05,-6.77,-9.57,28.86,5.35
1964660,8.93,3.51,-7.05,1.26,11.76,-9.23
1964667,9.13,2.68,-7.35,6.29,-3.7,-18.52
1964674,9.1,6.87,-7.56,13.76,-15.9,-16.66
1964681,7.13,2.58,-7.2,15.18,-25.44,-15.6
1964688,5.05,3.89,-7.37,16.4,-32.57,-11.94
1964695,2.87,4.23,-7.58,18.26,-37.38,-12.39
1964702,2.88,0.88,-7.07,17.39,-40.24,-21.33
1964709,4.2,3.12,-7.02,15.53,-41.9,-26.48
1964716,5.29,2.01,-6.76,14.95,-43.47,-24
1964723,5.31,1.57,-6.96,13.49,-43.56,-19.91
1964730,4.3,2.06,-7.08,14.09,-42.03,-18.3
1964737,3.43,0.26,-7.05,13.46,-39.07,-20.48
1964744,3.39,1.03,-6.83,14.26,-34.88,-18.13
1964751,4.14,1.12,-6.55,14.62,-31.38,-13.73
1964758,4.79,-1.03,-6.48,13.36,-28.39,-8.88
1964765,5.06,-1.96,-6.61,11.8,-25.74,-11.87
1964772,4.06,-1.19,-6.78,11.4,-22.83,-14.45
